run_id,instance_id,category,official_resolved,match_mode,source_run_id,source_instance_id,source_config_id
assignment-case-v1:06ad3af76d272f808add1583bee40ef2b52b74d711a917f25aac0163299806ac,django__django-13023,django/django,True,exact_run_id,assignment-case-v1:06ad3af76d272f808add1583bee40ef2b52b74d711a917f25aac0163299806ac,django__django-13023,shared-baseline
assignment-case-v1:06f08a392b6dfcb683338b13de748457832dfeb21655d9b578f204559b451988,django__django-11603,django/django,True,exact_run_id,assignment-case-v1:06f08a392b6dfcb683338b13de748457832dfeb21655d9b578f204559b451988,django__django-11603,shared-baseline
assignment-case-v1:080b2f5fd68e2c8eba6916f5b9eb307f2a4810fefd8eb1f6f6d10dbf2de35691,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,True,exact_run_id,assignment-case-v1:080b2f5fd68e2c8eba6916f5b9eb307f2a4810fefd8eb1f6f6d10dbf2de35691,scikit-learn__scikit-learn-13496,shared-baseline
assignment-case-v1:0813248f9b972a14de18f990b279135d112702497a6dba10e015a8b97396e88d,django__django-15814,django/django,False,exact_run_id,assignment-case-v1:0813248f9b972a14de18f990b279135d112702497a6dba10e015a8b97396e88d,django__django-15814,shared-baseline
assignment-case-v1:082180b0384bd99692b93cde8dacfd8073c91d650c18efc51ac0de1c9899fd82,scikit-learn__scikit-learn-14710,scikit-learn/scikit-learn,True,exact_run_id,assignment-case-v1:082180b0384bd99692b93cde8dacfd8073c91d650c18efc51ac0de1c9899fd82,scikit-learn__scikit-learn-14710,shared-baseline
assignment-case-v1:084ba187739866edddb86de57de1fe1cf71ee28f6238919f5174be18601605d7,django__django-11880,django/django,True,exact_run_id,assignment-case-v1:084ba187739866edddb86de57de1fe1cf71ee28f6238919f5174be18601605d7,django__django-11880,shared-baseline
assignment-case-v1:08943d7db31e523a78353a890f8444802b5c3b37d74dcca0f1ab773f47382a14,sphinx-doc__sphinx-10435,sphinx-doc/sphinx,False,exact_run_id,assignment-case-v1:08943d7db31e523a78353a890f8444802b5c3b37d74dcca0f1ab773f47382a14,sphinx-doc__sphinx-10435,shared-baseline
assignment-case-v1:08c0c23e0d7261698b168d4d12d8ca939a628500b3a57765b5dfe05eb9655526,sphinx-doc__sphinx-9258,sphinx-doc/sphinx,False,exact_run_id,assignment-case-v1:08c0c23e0d7261698b168d4d12d8ca939a628500b3a57765b5dfe05eb9655526,sphinx-doc__sphinx-9258,shared-baseline
assignment-case-v1:08e1b7c40292e11be0ab5645832113f4e990b1c86e657b230568706b32348b92,sympy__sympy-24213,sympy/sympy,True,exact_run_id,assignment-case-v1:08e1b7c40292e11be0ab5645832113f4e990b1c86e657b230568706b32348b92,sympy__sympy-24213,shared-baseline
assignment-case-v1:0a7585c97772b74f29f6e028faf9f580b6bd663236af4fd1fff4d761a3f05764,django__django-11999,django/django,True,exact_run_id,assignment-case-v1:0a7585c97772b74f29f6e028faf9f580b6bd663236af4fd1fff4d761a3f05764,django__django-11999,shared-baseline
assignment-case-v1:0aaa78b08576a16853e928f18e8b8b18f89edd7fe4a09404b50f9030ded740e4,django__django-11728,django/django,False,exact_run_id,assignment-case-v1:0aaa78b08576a16853e928f18e8b8b18f89edd7fe4a09404b50f9030ded740e4,django__django-11728,shared-baseline
assignment-case-v1:0b20d4189e6a881cb58e8557db2d02e1481c795bc385289eb32ee2e849cd0c56,django__django-16502,django/django,False,exact_run_id,assignment-case-v1:0b20d4189e6a881cb58e8557db2d02e1481c795bc385289eb32ee2e849cd0c56,django__django-16502,shared-baseline
assignment-case-v1:0b7ea917c359ea877d851343834dd79939ad595ffd3f75b1c567b83594769815,sphinx-doc__sphinx-9229,sphinx-doc/sphinx,False,exact_run_id,assignment-case-v1:0b7ea917c359ea877d851343834dd79939ad595ffd3f75b1c567b83594769815,sphinx-doc__sphinx-9229,shared-baseline
assignment-case-v1:0ba7ea04258a3d59a4027001f1ef69935cacb514a89ec77be726462dab930924,django__django-14672,django/django,True,exact_run_id,assignment-case-v1:0ba7ea04258a3d59a4027001f1ef69935cacb514a89ec77be726462dab930924,django__django-14672,shared-baseline
assignment-case-v1:0bb6dc2cfe5c12973ecf64135c22b5e7c9086df5ad5d0cc1e7e997bb24fdc520,sympy__sympy-18698,sympy/sympy,False,exact_run_id,assignment-case-v1:0bb6dc2cfe5c12973ecf64135c22b5e7c9086df5ad5d0cc1e7e997bb24fdc520,sympy__sympy-18698,shared-baseline
assignment-case-v1:0bea4a7128770a292be6f0ecfbb29e2d2b876fb0898c880e8c136447970f19a3,pylint-dev__pylint-8898,pylint-dev/pylint,False,exact_run_id,assignment-case-v1:0bea4a7128770a292be6f0ecfbb29e2d2b876fb0898c880e8c136447970f19a3,pylint-dev__pylint-8898,shared-baseline
assignment-case-v1:0c05ef52aa1d99d4f0ca4662c3cf9f71423eaad8593032412dd24a9f425f6f7b,sympy__sympy-13647,sympy/sympy,True,exact_run_id,assignment-case-v1:0c05ef52aa1d99d4f0ca4662c3cf9f71423eaad8593032412dd24a9f425f6f7b,sympy__sympy-13647,shared-baseline
assignment-case-v1:0c3e0b7731fbea3964807819ffe060b973179b58debbbd77a546584f1edfba49,django__django-13158,django/django,False,exact_run_id,assignment-case-v1:0c3e0b7731fbea3964807819ffe060b973179b58debbbd77a546584f1edfba49,django__django-13158,shared-baseline
assignment-case-v1:0c5365797dd313bfd6677c45f76faac58f6aa0e40b912b96b05240c297501f6b,matplotlib__matplotlib-20676,matplotlib/matplotlib,False,exact_run_id,assignment-case-v1:0c5365797dd313bfd6677c45f76faac58f6aa0e40b912b96b05240c297501f6b,matplotlib__matplotlib-20676,shared-baseline
assignment-case-v1:0cede4eeb275bffb62d306f95f725fb9316ed3b166f8efaf4fd317a34b5f7f48,django__django-12983,django/django,True,exact_run_id,assignment-case-v1:0cede4eeb275bffb62d306f95f725fb9316ed3b166f8efaf4fd317a34b5f7f48,django__django-12983,shared-baseline
assignment-case-v1:0d46eb654654368ddf2cf987d983e73c07dbf3d10d1131b43a2faeaa1546aec8,psf__requests-2148,psf/requests,True,exact_run_id,assignment-case-v1:0d46eb654654368ddf2cf987d983e73c07dbf3d10d1131b43a2faeaa1546aec8,psf__requests-2148,shared-baseline
assignment-case-v1:0edcf5cb9f170b7ebde2be261cb3bf86b006d2fd0b68e53b493d1ba963943026,django__django-14672,django/django,True,exact_run_id,assignment-case-v1:0edcf5cb9f170b7ebde2be261cb3bf86b006d2fd0b68e53b493d1ba963943026,django__django-14672,shared-baseline
assignment-case-v1:0f065410b308260975654054cb8fadc4b0abca375fec91a0827b863658354980,django__django-11551,django/django,True,exact_run_id,assignment-case-v1:0f065410b308260975654054cb8fadc4b0abca375fec91a0827b863658354980,django__django-11551,shared-baseline
assignment-case-v1:0f44a3916facc25d5c41a397686454e46d2cfdc23449811b29f5d8a105f0a321,django__django-15315,django/django,True,exact_run_id,assignment-case-v1:0f44a3916facc25d5c41a397686454e46d2cfdc23449811b29f5d8a105f0a321,django__django-15315,shared-baseline
assignment-case-v1:1016b2f5f94d93df860c6bbafa497206b5c445e35a9e1392bfa3835c460bfd91,django__django-11179,django/django,True,exact_run_id,assignment-case-v1:1016b2f5f94d93df860c6bbafa497206b5c445e35a9e1392bfa3835c460bfd91,django__django-11179,shared-baseline
assignment-case-v1:1090236262429d752cfec359076d6b93809e09d21637790a646aa14e56307a96,sphinx-doc__sphinx-10614,sphinx-doc/sphinx,False,exact_run_id,assignment-case-v1:1090236262429d752cfec359076d6b93809e09d21637790a646aa14e56307a96,sphinx-doc__sphinx-10614,shared-baseline
assignment-case-v1:10c44b5937fb166aac3b4f3c7329a8e546b879a4f25168d6fc19e9cdbeba8271,django__django-11790,django/django,False,exact_run_id,assignment-case-v1:10c44b5937fb166aac3b4f3c7329a8e546b879a4f25168d6fc19e9cdbeba8271,django__django-11790,shared-baseline
assignment-case-v1:1158d16a5ff444e322596a6ba34f7eab479b812bf9fae364da9b37dcefa25eb5,sympy__sympy-15599,sympy/sympy,False,exact_run_id,assignment-case-v1:1158d16a5ff444e322596a6ba34f7eab479b812bf9fae364da9b37dcefa25eb5,sympy__sympy-15599,shared-baseline
assignment-case-v1:11f6b581b04ade389d18037829918c34b50a9dc119bd254dc9107665fa9ef661,sympy__sympy-20801,sympy/sympy,False,exact_run_id,assignment-case-v1:11f6b581b04ade389d18037829918c34b50a9dc119bd254dc9107665fa9ef661,sympy__sympy-20801,shared-baseline
assignment-case-v1:12f45ce138833a52df57df5df160e2df9f15d663d11c4de6acc58c00754449c0,django__django-13315,django/django,False,exact_run_id,assignment-case-v1:12f45ce138833a52df57df5df160e2df9f15d663d11c4de6acc58c00754449c0,django__django-13315,shared-baseline
assignment-case-v1:13283defa996e245d684fe27322ffe18294f66aabc91a78fce036cbdb5c96d23,django__django-15252,django/django,False,exact_run_id,assignment-case-v1:13283defa996e245d684fe27322ffe18294f66aabc91a78fce036cbdb5c96d23,django__django-15252,shared-baseline
assignment-case-v1:13d1ccc9ab2d5ecc54f5ed78148f741c52fe7afd4a4648e909f3d7426ad09db7,astropy__astropy-13453,astropy/astropy,False,exact_run_id,assignment-case-v1:13d1ccc9ab2d5ecc54f5ed78148f741c52fe7afd4a4648e909f3d7426ad09db7,astropy__astropy-13453,shared-baseline
assignment-case-v1:142cac08530619701eebd9e6b0146062b67c8860a48ebedf0c77a53aeef1fedb,django__django-13265,django/django,False,exact_run_id,assignment-case-v1:142cac08530619701eebd9e6b0146062b67c8860a48ebedf0c77a53aeef1fedb,django__django-13265,shared-baseline
assignment-case-v1:14fd65389b798724dfa7d28ee48ca19db7ad1d818d9a494769e3b7a25199c538,django__django-15161,django/django,False,exact_run_id,assignment-case-v1:14fd65389b798724dfa7d28ee48ca19db7ad1d818d9a494769e3b7a25199c538,django__django-15161,shared-baseline
assignment-case-v1:150d1658fdc8ae2cac015ea565953811b8c8f0dcfed7c34dd309662acc8a487d,pylint-dev__pylint-7277,pylint-dev/pylint,True,exact_run_id,assignment-case-v1:150d1658fdc8ae2cac015ea565953811b8c8f0dcfed7c34dd309662acc8a487d,pylint-dev__pylint-7277,shared-baseline
assignment-case-v1:152f1e13a3b947069da23e8c1e2236adb9a82f0425ab669d0dfe43b8e0f2d1f5,django__django-16661,django/django,False,exact_run_id,assignment-case-v1:152f1e13a3b947069da23e8c1e2236adb9a82f0425ab669d0dfe43b8e0f2d1f5,django__django-16661,shared-baseline
assignment-case-v1:15334bfc89a03314b3ebd304df04f6d05d14f1fd7a6b48f4b7d79e81fa44afab,django__django-13757,django/django,False,exact_run_id,assignment-case-v1:15334bfc89a03314b3ebd304df04f6d05d14f1fd7a6b48f4b7d79e81fa44afab,django__django-13757,shared-baseline
assignment-case-v1:15ebf286f4d547e6b3c6197827ecd887d81eabbc3f6a8e8b583a139c8f9b11c3,sympy__sympy-18057,sympy/sympy,False,exact_run_id,assignment-case-v1:15ebf286f4d547e6b3c6197827ecd887d81eabbc3f6a8e8b583a139c8f9b11c3,sympy__sympy-18057,shared-baseline
assignment-case-v1:163326e2370fa3b7576c2c9deed060009d17922afe8e6d25f084b5f27b0260bd,django__django-15368,django/django,True,exact_run_id,assignment-case-v1:163326e2370fa3b7576c2c9deed060009d17922afe8e6d25f084b5f27b0260bd,django__django-15368,shared-baseline
assignment-case-v1:164bc0089deb9287c43c4a4705f118e8b0201a4c0a950759f3df3f1301d664df,astropy__astropy-14539,astropy/astropy,False,exact_run_id,assignment-case-v1:164bc0089deb9287c43c4a4705f118e8b0201a4c0a950759f3df3f1301d664df,astropy__astropy-14539,shared-baseline
assignment-case-v1:16a45eafe4bbd4e428b57b199d32aa2e28d7b6ff12f59931cf4838231b78ff24,django__django-11451,django/django,True,exact_run_id,assignment-case-v1:16a45eafe4bbd4e428b57b199d32aa2e28d7b6ff12f59931cf4838231b78ff24,django__django-11451,shared-baseline
assignment-case-v1:16ce165dc4361e26ff9fafb1f1f54afbe38792d67d420a1ce182d64e1f4fa837,sympy__sympy-14817,sympy/sympy,True,exact_run_id,assignment-case-v1:16ce165dc4361e26ff9fafb1f1f54afbe38792d67d420a1ce182d64e1f4fa837,sympy__sympy-14817,shared-baseline
assignment-case-v1:16f1ebd6befc7630a235b427aabbbb05766f2d500cef05b02a82afedcb47db04,pylint-dev__pylint-6903,pylint-dev/pylint,True,exact_run_id,assignment-case-v1:16f1ebd6befc7630a235b427aabbbb05766f2d500cef05b02a82afedcb47db04,pylint-dev__pylint-6903,shared-baseline
assignment-case-v1:1798502b82224ea304cda58e27f807d8e1dba139dff23bef3e3d5b5416f70456,django__django-14349,django/django,False,exact_run_id,assignment-case-v1:1798502b82224ea304cda58e27f807d8e1dba139dff23bef3e3d5b5416f70456,django__django-14349,shared-baseline
assignment-case-v1:17caa950d302b1a75e830e1b98fd4340432a7447a23caf5a255785bab5423541,django__django-15781,django/django,False,exact_run_id,assignment-case-v1:17caa950d302b1a75e830e1b98fd4340432a7447a23caf5a255785bab5423541,django__django-15781,shared-baseline
assignment-case-v1:17d40e3e61622392a4d701107cf550578a53a447bcd9b05150c87539eff8b146,matplotlib__matplotlib-25311,matplotlib/matplotlib,False,exact_run_id,assignment-case-v1:17d40e3e61622392a4d701107cf550578a53a447bcd9b05150c87539eff8b146,matplotlib__matplotlib-25311,shared-baseline
assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6,pydata__xarray-3364,pydata/xarray,False,exact_run_id,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6,pydata__xarray-3364,shared-baseline
assignment-case-v1:18105acd69f6846ac5a27227fa9b5b33cb2e6ddc2eac91590c4238d88ebe3208,django__django-12700,django/django,True,exact_run_id,assignment-case-v1:18105acd69f6846ac5a27227fa9b5b33cb2e6ddc2eac91590c4238d88ebe3208,django__django-12700,shared-baseline
assignment-case-v1:18310e941156a26dc0c031ece89fd988d1d2128e7a3c68c1d03868a32cb78252,astropy__astropy-14182,astropy/astropy,False,exact_run_id,assignment-case-v1:18310e941156a26dc0c031ece89fd988d1d2128e7a3c68c1d03868a32cb78252,astropy__astropy-14182,shared-baseline
assignment-case-v1:183a6eaa194d8fb9068a11be23e432f34923f449e81e160fe95f246460c7c207,django__django-16595,django/django,True,exact_run_id,assignment-case-v1:183a6eaa194d8fb9068a11be23e432f34923f449e81e160fe95f246460c7c207,django__django-16595,shared-baseline
assignment-case-v1:19847bab93df5ef1337c2852c5dfe193f8750c0ca248c38da1c89e1ee74bc01c,sympy__sympy-15346,sympy/sympy,False,exact_run_id,assignment-case-v1:19847bab93df5ef1337c2852c5dfe193f8750c0ca248c38da1c89e1ee74bc01c,sympy__sympy-15346,shared-baseline
assignment-case-v1:1988d9b0b91cf337f08091282119e2856033a4c8c80d9364d4aa1d5cb52dd5e9,astropy__astropy-7336,astropy/astropy,True,exact_run_id,assignment-case-v1:1988d9b0b91cf337f08091282119e2856033a4c8c80d9364d4aa1d5cb52dd5e9,astropy__astropy-7336,shared-baseline
assignment-case-v1:19d279b0bbfb7a0b2c8c9625ee62215ead7c1ce285fddab53afea72495e9e102,matplotlib__matplotlib-25442,matplotlib/matplotlib,True,exact_run_id,assignment-case-v1:19d279b0bbfb7a0b2c8c9625ee62215ead7c1ce285fddab53afea72495e9e102,matplotlib__matplotlib-25442,shared-baseline
assignment-case-v1:19e2c904ef7dc98416d35e6c4d5cb3a104756896961c0ea99069fbbc8770c7e7,sympy__sympy-12454,sympy/sympy,False,exact_run_id,assignment-case-v1:19e2c904ef7dc98416d35e6c4d5cb3a104756896961c0ea99069fbbc8770c7e7,sympy__sympy-12454,shared-baseline
assignment-case-v1:1b3d2fc487fe7217f6e8752f8021a19aa7319f56dd1105079c0121135a245f60,sympy__sympy-13615,sympy/sympy,False,exact_run_id,assignment-case-v1:1b3d2fc487fe7217f6e8752f8021a19aa7319f56dd1105079c0121135a245f60,sympy__sympy-13615,shared-baseline
assignment-case-v1:1b72a394ddb0a6f18b8ad02027dd72fff19b4b21004df2cb4beb304d92175216,django__django-11333,django/django,False,exact_run_id,assignment-case-v1:1b72a394ddb0a6f18b8ad02027dd72fff19b4b21004df2cb4beb304d92175216,django__django-11333,shared-baseline
assignment-case-v1:1b82df1ede39f6db92d7a4074780a92a51d89223067c28091c3ea1d3f22f0127,sympy__sympy-14531,sympy/sympy,True,exact_run_id,assignment-case-v1:1b82df1ede39f6db92d7a4074780a92a51d89223067c28091c3ea1d3f22f0127,sympy__sympy-14531,shared-baseline
assignment-case-v1:1bd056a857cacaad428b4a4cc1c31541e96e10a5979fec1191d578199102241f,django__django-11815,django/django,True,exact_run_id,assignment-case-v1:1bd056a857cacaad428b4a4cc1c31541e96e10a5979fec1191d578199102241f,django__django-11815,shared-baseline
assignment-case-v1:1bd56536f095b7b4d58ae764b803a7039e77254a1be1611f684a4fbaaa9e3817,sphinx-doc__sphinx-9711,sphinx-doc/sphinx,False,exact_run_id,assignment-case-v1:1bd56536f095b7b4d58ae764b803a7039e77254a1be1611f684a4fbaaa9e3817,sphinx-doc__sphinx-9711,shared-baseline
assignment-case-v1:1bd8457f2c9e9caf2844af7e311320cb0133f710ed6ae7e18db444472778387f,django__django-10999,django/django,False,exact_run_id,assignment-case-v1:1bd8457f2c9e9caf2844af7e311320cb0133f710ed6ae7e18db444472778387f,django__django-10999,shared-baseline
assignment-case-v1:1bf55bac7d433ba579eb3318f4c2bf2163e8240925cdbd41d83d03ed510c6fe9,scikit-learn__scikit-learn-13124,scikit-learn/scikit-learn,False,exact_run_id,assignment-case-v1:1bf55bac7d433ba579eb3318f4c2bf2163e8240925cdbd41d83d03ed510c6fe9,scikit-learn__scikit-learn-13124,shared-baseline
assignment-case-v1:1bf98b1e55043f8a665a6a12b88c2c7f6854388c531e5b191aa887a4b249274f,psf__requests-6028,psf/requests,False,exact_run_id,assignment-case-v1:1bf98b1e55043f8a665a6a12b88c2c7f6854388c531e5b191aa887a4b249274f,psf__requests-6028,shared-baseline
assignment-case-v1:1c5e3fc85a6bca3a0f7b39f001b3513d732efc4f30964e1fb2f4c7f6371263e5,django__django-11797,django/django,False,exact_run_id,assignment-case-v1:1c5e3fc85a6bca3a0f7b39f001b3513d732efc4f30964e1fb2f4c7f6371263e5,django__django-11797,shared-baseline
assignment-case-v1:1d2b866c5d05daa35f42bdc585f5ac46d4941663d5b25ac5db54b1668fe5e33e,pytest-dev__pytest-5227,pytest-dev/pytest,True,exact_run_id,assignment-case-v1:1d2b866c5d05daa35f42bdc585f5ac46d4941663d5b25ac5db54b1668fe5e33e,pytest-dev__pytest-5227,shared-baseline
assignment-case-v1:1d83b4e414d6d1d4b31602ea6a513e2e820b159220d5263f2b32fc697ed21695,scikit-learn__scikit-learn-13328,scikit-learn/scikit-learn,True,exact_run_id,assignment-case-v1:1d83b4e414d6d1d4b31602ea6a513e2e820b159220d5263f2b32fc697ed21695,scikit-learn__scikit-learn-13328,shared-baseline
assignment-case-v1:1e2725448eb687e25fcb0ca4a3535f810d08c6736173f92f26f279d1bfd9c912,django__django-11564,django/django,False,exact_run_id,assignment-case-v1:1e2725448eb687e25fcb0ca4a3535f810d08c6736173f92f26f279d1bfd9c912,django__django-11564,shared-baseline
assignment-case-v1:1e57ed8cbe9c079cc393dc000de30cb7d86203b27290a90676913a094f4ef8b7,sympy__sympy-16766,sympy/sympy,True,exact_run_id,assignment-case-v1:1e57ed8cbe9c079cc393dc000de30cb7d86203b27290a90676913a094f4ef8b7,sympy__sympy-16766,shared-baseline
assignment-case-v1:1e704f3dac66227ff332c1e00e345643f6f71903fc8d4abb80b9e05f5fcdf528,sphinx-doc__sphinx-9320,sphinx-doc/sphinx,True,exact_run_id,assignment-case-v1:1e704f3dac66227ff332c1e00e345643f6f71903fc8d4abb80b9e05f5fcdf528,sphinx-doc__sphinx-9320,shared-baseline
assignment-case-v1:1f0b8f40093557e30913de93fc950d10ed482d52f815c44a3c6d5eafcc71baf3,astropy__astropy-7671,astropy/astropy,True,exact_run_id,assignment-case-v1:1f0b8f40093557e30913de93fc950d10ed482d52f815c44a3c6d5eafcc71baf3,astropy__astropy-7671,shared-baseline
assignment-case-v1:1f47c129aa7c6b4761e37d886c0bcfab3e4d5c656af513e1743c1eaa82f8e133,sympy__sympy-19637,sympy/sympy,True,exact_run_id,assignment-case-v1:1f47c129aa7c6b4761e37d886c0bcfab3e4d5c656af513e1743c1eaa82f8e133,sympy__sympy-19637,shared-baseline
assignment-case-v1:1f590e3bf53108fcf6c9936a45fd5c598975fbb638c89fcc1f6ed08547cea96a,matplotlib__matplotlib-23987,matplotlib/matplotlib,False,exact_run_id,assignment-case-v1:1f590e3bf53108fcf6c9936a45fd5c598975fbb638c89fcc1f6ed08547cea96a,matplotlib__matplotlib-23987,shared-baseline
assignment-case-v1:1fd8a40a954e97a6454657b596ef2f0e939e77f254f0042255bd6f147c45b1f0,sphinx-doc__sphinx-7454,sphinx-doc/sphinx,False,exact_run_id,assignment-case-v1:1fd8a40a954e97a6454657b596ef2f0e939e77f254f0042255bd6f147c45b1f0,sphinx-doc__sphinx-7454,shared-baseline
assignment-case-v1:1fe20105c9e6ff40b755c01bf9bbacd123c2653ff085a894eb9a6aede2ba0b80,scikit-learn__scikit-learn-14496,scikit-learn/scikit-learn,True,exact_run_id,assignment-case-v1:1fe20105c9e6ff40b755c01bf9bbacd123c2653ff085a894eb9a6aede2ba0b80,scikit-learn__scikit-learn-14496,shared-baseline
assignment-case-v1:20caa91d66fe2d4aca12449e7a165200d0a392c65c81f0be0358359cf0ae8b09,django__django-12497,django/django,True,exact_run_id,assignment-case-v1:20caa91d66fe2d4aca12449e7a165200d0a392c65c81f0be0358359cf0ae8b09,django__django-12497,shared-baseline
assignment-case-v1:218a0e9f763396fd4bd446fc71d9a849b3f1443f81a1774981d8ed34af32d34f,django__django-11206,django/django,False,exact_run_id,assignment-case-v1:218a0e9f763396fd4bd446fc71d9a849b3f1443f81a1774981d8ed34af32d34f,django__django-11206,shared-baseline
assignment-case-v1:21b9110eb053494e8b2dea7b697857bae88a34184edc8d69330f4092d9b07a81,sympy__sympy-22005,sympy/sympy,False,exact_run_id,assignment-case-v1:21b9110eb053494e8b2dea7b697857bae88a34184edc8d69330f4092d9b07a81,sympy__sympy-22005,shared-baseline
assignment-case-v1:21cc14f22723970739bd2cd0aaffca854e399ed6919f0869b441f9b6bb9c8f64,django__django-15930,django/django,False,exact_run_id,assignment-case-v1:21cc14f22723970739bd2cd0aaffca854e399ed6919f0869b441f9b6bb9c8f64,django__django-15930,shared-baseline
assignment-case-v1:22ae18f2fbe436543d0916eaad9d9ffa13f7804cf829f1f381cb1b665bb998dd,django__django-13449,django/django,False,exact_run_id,assignment-case-v1:22ae18f2fbe436543d0916eaad9d9ffa13f7804cf829f1f381cb1b665bb998dd,django__django-13449,shared-baseline
assignment-case-v1:231a6911087d5778045b5162e469d9d3cf1713a1a3353b516cf7afa3ed8167fc,django__django-16041,django/django,True,exact_run_id,assignment-case-v1:231a6911087d5778045b5162e469d9d3cf1713a1a3353b516cf7afa3ed8167fc,django__django-16041,shared-baseline
assignment-case-v1:2372969c8194ef2010619926722b6e51db6cee21071e65c3d7d033e953077c32,astropy__astropy-13398,astropy/astropy,False,exact_run_id,assignment-case-v1:2372969c8194ef2010619926722b6e51db6cee21071e65c3d7d033e953077c32,astropy__astropy-13398,shared-baseline
assignment-case-v1:2401919891426c6b8e18b5f25c6123c91e544ba8be5dfd2dbc56b02897c7278b,django__django-11734,django/django,False,exact_run_id,assignment-case-v1:2401919891426c6b8e18b5f25c6123c91e544ba8be5dfd2dbc56b02897c7278b,django__django-11734,shared-baseline
